date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:31	96174/96174	---M-Z	200	added ('OK')	text/html	etag:%22177ae-56a79aa8-5013b2;gz%22	http://jaybabani.com/ultra-admin-html/preview/index.html	C:/Users/Xeven/Downloads/Ultra%20Admin/jaybabani.com/ultra-admin-html/preview/index.html	(from )
22:33:32	444/444	---MCZ	302	error ('Found')	text/html	date:Sun,%2001%20Dec%202024%2017:34:19%20GMT	http://jaybabani.com/robots.txt		(from )
22:33:32	338/338	---M--	200	added ('OK')	image/png	etag:%22152-5677d8a6-501159;;;%22	http://jaybabani.com/ultra-admin-html/preview/assets/images/favicon.png	C:/Users/Xeven/Downloads/Ultra%20Admin/jaybabani.com/ultra-admin-html/preview/assets/images/favicon.png	(from http://jaybabani.com/ultra-admin-html/preview/index.html)
22:33:32	764/764	---M--	200	added ('OK')	image/png	etag:%222fc-5677d8a4-501153;;;%22	http://jaybabani.com/ultra-admin-html/preview/assets/images/apple-touch-icon-57-precomposed.png	C:/Users/Xeven/Downloads/Ultra%20Admin/jaybabani.com/ultra-admin-html/preview/assets/images/apple-touch-icon-57-precomposed.png	(from http://jaybabani.com/ultra-admin-html/preview/index.html)
22:33:33	1246/1246	---M--	200	added ('OK')	image/png	etag:%224de-5677d8a2-50115b;;;%22	http://jaybabani.com/ultra-admin-html/preview/assets/images/apple-touch-icon-114-precomposed.png	C:/Users/Xeven/Downloads/Ultra%20Admin/jaybabani.com/ultra-admin-html/preview/assets/images/apple-touch-icon-114-precomposed.png	(from http://jaybabani.com/ultra-admin-html/preview/index.html)
22:33:33	842/842	---M--	200	added ('OK')	image/png	etag:%2234a-5677d8a4-501156;;;%22	http://jaybabani.com/ultra-admin-html/preview/assets/images/apple-touch-icon-72-precomposed.png	C:/Users/Xeven/Downloads/Ultra%20Admin/jaybabani.com/ultra-admin-html/preview/assets/images/apple-touch-icon-72-precomposed.png	(from http://jaybabani.com/ultra-admin-html/preview/index.html)
22:33:34	1671/1671	---M--	200	added ('OK')	image/png	etag:%22687-5677d8a4-501158;;;%22	http://jaybabani.com/ultra-admin-html/preview/assets/images/apple-touch-icon-144-precomposed.png	C:/Users/Xeven/Downloads/Ultra%20Admin/jaybabani.com/ultra-admin-html/preview/assets/images/apple-touch-icon-144-precomposed.png	(from http://jaybabani.com/ultra-admin-html/preview/index.html)
22:33:34	2086/2086	---M-Z	200	added ('OK')	text/css	etag:%22826-5677d960-500a6c;gz%22	http://jaybabani.com/ultra-admin-html/preview/assets/plugins/pace/pace-theme-flash.css	C:/Users/Xeven/Downloads/Ultra%20Admin/jaybabani.com/ultra-admin-html/preview/assets/plugins/pace/pace-theme-flash.css	(from http://jaybabani.com/ultra-admin-html/preview/index.html)
22:33:35	122540/122540	---M-Z	200	added ('OK')	text/css	etag:%221deac-5677d9aa-500d3a;gz%22	http://jaybabani.com/ultra-admin-html/preview/assets/plugins/bootstrap/css/bootstrap.min.css	C:/Users/Xeven/Downloads/Ultra%20Admin/jaybabani.com/ultra-admin-html/preview/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://jaybabani.com/ultra-admin-html/preview/index.html)
22:33:35	23357/23357	---M-Z	200	added ('OK')	text/css	etag:%225b3d-5677d9a8-500d3b;gz%22	http://jaybabani.com/ultra-admin-html/preview/assets/plugins/bootstrap/css/bootstrap-theme.min.css	C:/Users/Xeven/Downloads/Ultra%20Admin/jaybabani.com/ultra-admin-html/preview/assets/plugins/bootstrap/css/bootstrap-theme.min.css	(from http://jaybabani.com/ultra-admin-html/preview/index.html)
